name,twittername,partei,reach
Lukas Reimann,@lukasreimann,SVP,26656
NatalieRickli,@NatalieRickli,SVP,51806
ToniBrunner,@SVPBrunner,SVP,5889
LuziStamm,@LuziStamm,SVP,729
MaximilianReimann,@maximilian_rei,SVP,8702
YvesNidegger,@YvesNidegger,SVP,3843
HansjörgKnecht,@HansjoergKnecht,SVP,123
AlfredHeer,@AlfredHeer,SVP,11523
WernerHösli,@Werner_Hoesli,SVP,9241
AdrianAmstutz,@AdrianAmstutz,SVP,456
VerenaHerzog,@verenaherzog,SVP,7546
OskarFreysinger,@OskarFreysinger,SVP,41029
ThomasHurter,@HurterThomas,SVP,493
YvetteEstermann,@Yvette67Yvette,SVP,3174
UlrichGiezendanner,@UGiezendanner,SVP,9322
ChristophMörgeli,@ChrMoergeli,SVP,8501
PierreRusconi,@PierreRusconi,SVP,1488
Jacqueline Badran,@JayBadran,SP,26110
Christian Levrat,@ChristianLevrat,SP,133677
CÃ©dric Wermuth,@cedricwermuth,SP,38289
JeanChr.Schwaab,@jcschwaab,SP,38937
PascaleBruderer,@PascaleBruderer,SP,83677
YvonneFeri,@yferi,SP,1682
EviAllemann,@eviallemann,SP,77231
Jean-FrançoisSteiert,@steiertjf,SP,39897
JacquelineFehr,@jacquelinefehr,SP,41524
CarloSommaruga,@CarloSommaruga,SP,17634
IsabelleMoret,@IsabelleMoret,SP,3457
RobertoZanetti,@zanettiroberto,SP,10625
PhilippHADORN,@PhilippHadorn,SP,1626
BeaHeim,@beaheim,SP,9373
LeuteneggerOberholz,@SusanneSlo,SP,16691
SilviaSchenker,@SchenkerSilvia,SP,28230
MatthiasAebischer,@M_Aebischer,SP,7575
DidierBerberat,@berberatdidier,SP,784
ThomasHardegger,@th_hardegger,SP,962
ClaudiaFriedl,@claufriedl,SP,41132
ChantalGalladé,@ChantalGallade,SP,51847
BarbaraGysi,@BaGysi,SP,2417
RossiniStéphane,@SteRossini63,SP,3789
NadineMasshardt,@nmasshardt,SP,7187
EricNussbaumer,@enussbi,SP,46496
MarinaCarobbio,@MarinaCarobbio,SP,3610
MaireJacques-André,@MaireJack,SP,12139
MartinaMunz,@MartinaMunz,SP,13841
RogerNordmann,@NordmannRoger,SP,2784
ValériePiller,@Valerie_Piller,SP,40447
AdaMarra,@ada_marra,SP,2936
PaulRechsteiner,@PaulRechsteiner,SP,149394
CeslaAmarelle,@CeslaAmarelle,SP,6855
ManuelTornare,@ManuelTornare,SP,17590
MathiasReynard,@MathiasReynard,SP,26047
LilianeMauryPasquier,@votrevoix,SP,34316
IsabelleChevalley,@I_Chevalley,GLP,14944
BeatFlach,@beatflach,GLP,22455
KathrinBertschy,@kathrinbertschy,GLP,36378
RolandFischer,@RolaFir,GLP,2207
JürgGrossen,@Juerg_Grossen,GLP,42083
Hugues Hiltpold,@hhiltpold,FDP,9984
Felix Gutzwiller,@FelixGutzwiller,FDP,15859
ChristaMarkwalder,@ChristaMarkwald,FDP,14861
TheilerGeorges,@GTheiler,FDP,281
ChristianWasserfallen,@cwasi,FDP,11526
FilippoLeutenegger,@F_Leutenegger,FDP,9976
RuediNoser,@RuediNoser,FDP,8101
ChristianLuscher,@CLuscher,FDP,8411
FathiDerder,@fderder,FDP,38387
AndreaCaroni,@AndreaCaroniAR,FDP,10478
Balthasar GlÃ¤ttli,@bglaettli,Grüne,31365
Bastien Girod,@bastiengirod,Grüne,27645
YvonneGilli,@YvonneGilli,Grüne,8507
UeliLeuenberger,@thegreenpreside,Grüne,431
alinetrede,@alinetrede,Grüne,4977
AdèleThorens,@adelethorens,Grüne,27048
RobertCramer,@RobertCramer_GE,Grüne,42594
RegulaRytz,@RegulaRytz,Grüne,27992
DanielVischer,@DanielVischerNR,Grüne,18737
MajaIngold,@MajaIngold,EVP,17482
MarianneStreiff,@MarianneStreiff,EVP,1674
RobertaPantani,@RobiPanta,Lega,3656
LorenzoQuadri,@LorenzQuadri,Lega,2566
BernhardGuhl,@BernhardGuhl,BDP,3198
LorenzHess,@LorenzHess,BDP,21773
MartinLandolt,@LandoltMartin,BDP,14183
Schmid Federer,@SchmidFederer,CVP,29262
ChristopheDarbellay,@C_Darbellay,CVP,32792
BrigitteHäberli,@B_Haeberli,CVP,5369
PirminBischof,@PirminBischof,CVP,25799
JacquesNeirynck,@NeirynckJ,CVP,239
KathyRiklin,@KathyRiklin,CVP,6358
ViolaAmherd,@Violapamherd,CVP,10754
ChristianLohr,@Ch_Lohr,CVP,18370
GuillaumeBarazzone,@BarazzoneG,CVP,15020
YannickButtet,@ybuttet,CVP,32466
ElisabethSchneider,@Elisabeth_S_S,CVP,14101
ChristineBulliard,@BulliardMarbach,CVP,15656
FabioRegazzi,@fregazzi,CVP,2674
FilippoLombardi,@lombardi1956,CVP,4027
DominiquedeBuman,@DdeBuman,CVP,56260
GraberKonrad,@GraberKonrad,CVP,54007
StefanMüller,@MullerAltermatt,CVP,27559
IdaGlanzmann,@idamicha,CVP,5947
