Name,Reach,Partei
Maximilian Reimann,158344,SVP
Yves Nidegger,27491,SVP
Hansjörg Knecht,940,SVP
Thomas Hardegger,9828,SP
Kathrin Bertschy,804618,GLP
Christian Luscher,19169,FDP
Adèle Thorens,130929,Grüne
Claudia Friedl,708056,SP
Chantal Galladé,398826,SP
Barbara Gysi,7720,SP
Robert Cramer,655563,Grüne
Alfred Heer,55257,SVP
Werner Hösli,162308,SVP
Adrian Amstutz,460,SVP
Maja Ingold,59888,EVP
Marianne Streiff,6324,EVP
Rossini Stéphane,5952,SP
Lorenz Hess,43703,BDP
Regula Rytz,171563,Grüne
Christine Bulliard,101348,CVP
Verena Herzog,25010,SVP
Daniel Vischer,55647,Grüne
Oskar Freysinger,517124,SVP
Nadine Masshardt,290772,SP
Thomas Hurter,507,SVP
Eric Nussbaumer,12032,SP
Yvette Estermann,12254,SVP
Fabio Regazzi,16298,CVP
Marina Carobbio,53404,SP
Maire Jacques-André,171300,SP
Filippo Lombardi,7863,CVP
Martina Munz,40814,SP
Roger Nordmann,639885,SP
Martin Landolt,136767,BDP
Dominique de Buman,1191919,CVP
Valérie Piller,530604,SP
Fathi Derder,205481,FDP
Graber Konrad,41688,CVP
Ada Marra,28200,SP
Roland Fischer,233882,GLP
Ulrich Giezendanner,44174,SVP
Paul Rechsteiner,4336396,SP
Cesla Amarelle,22051,SP
Christoph Mörgeli,137950,SVP
Manuel Tornare,180385,SP
Pierre Rusconi,2779,SVP
Jürg Grossen,2135367,GLP
Stefan Müller,42950,CVP
Ida Glanzmann,80500,CVP
Andrea Caroni,189662,FDP
Mathias Reynard,90069,SP
LilianeMauryPasquier,846,SP
Luzi Stamm,1342,SVP
Roberta Pantani,9422,Lega
Leutenegger Oberholz,14556,SP
Christian Lohr,244361,CVP
Lorenzo Quadri,16740,Lega
Filippo Leutenegger,28619,FDP
Ruedi Noser,74716,FDP
Silvia Schenker,48200,SP
Matthias Aebischer,68519,SP
Guillaume Barazzone,26449,CVP
Ueli Leuenberger,940,Grüne
DidierBerberat,1438,SP
Yannick Buttet,132159,CVP
aline trede,7352,Grüne
Elisabeth Schneider,52708,CVP
Jean Chr. Schwaab,139952,SP
Pascale Bruderer,1710133,SP
Yvonne Feri,4925,SP
Christa Markwalder,61297,FDP
Theiler Georges,279,FDP
Evi Allemann,520491,SP
Christophe Darbellay,29726,CVP
Brigitte Häberli,46937,CVP
Jean-FrançoisSteiert,435956,SP
Pirmin Bischof,150697,CVP
Natalie Rickli,346776,SVP
Jacqueline Fehr,426451,SP
Carlo Sommaruga,28497,SP
Isabelle Moret,49466,SP
Isabelle Chevalley,29210,GLP
Jacques Neirynck,240,CVP
Beat Flach,27235,GLP
Bernhard Guhl,22707,BDP
Yvonne Gilli,70763,Grüne
Kathy Riklin,24442,CVP
Roberto Zanetti,175993,SP
Philipp HADORN,6484,SP
Viola Amherd,66503,CVP
Bea Heim,15358,SP
Toni Brunner,15433,SVP
Christian Wasserfallen,17833,FDP
Jacqueline Badran,82076,SP
Schmid Federer,122683,CVP
Christian Levrat,1770055,SP
Hugues Hiltpold,14729,FDP
Felix Gutzwiller,185775,FDP
Lukas Reimann,67100,SVP
Cédric Wermuth,173049,SP
Balthasar Glättli,101698,Grüne
Bastien Girod,132675,Grüne
